Smartphone,Brand,Model,RAM,Storage,Final Price
682,11,123,6.0,128.0,461.05
686,11,125,6.0,128.0,369.95
692,11,127,8.0,256.0,887.46
705,11,129,12.0,128.0,719.12
708,11,129,8.0,128.0,517.37
712,11,129,6.0,128.0,594.23
713,11,129,6.0,128.0,649.0
716,11,129,6.0,128.0,649.0
723,11,129,6.0,128.0,552.38
731,11,129,12.0,128.0,961.03
734,11,129,8.0,128.0,773.44
738,11,130,8.0,128.0,734.39
742,11,130,6.0,128.0,759.0
747,11,130,6.0,128.0,472.15
750,11,130,8.0,256.0,769.51
755,11,131,8.0,128.0,619.96
756,11,131,8.0,256.0,815.94
762,11,131,12.0,512.0,1625.36
763,11,131,12.0,512.0,1688.53
767,11,131,8.0,128.0,889.99
771,11,281,8.0,256.0,769.0
772,11,134,8.0,128.0,589.0
774,11,134,8.0,128.0,703.0
776,11,134,8.0,256.0,735.99
777,11,134,8.0,256.0,1409.35
782,11,135,8.0,128.0,1102.93
783,11,135,8.0,128.0,735.92
784,11,135,8.0,128.0,1330.5
785,11,135,8.0,128.0,965.2
787,11,135,8.0,128.0,965.2
791,11,135,8.0,256.0,1011.0
793,11,135,8.0,256.0,1143.53
796,11,135,8.0,256.0,888.2
797,11,135,8.0,512.0,1169.66
799,11,135,8.0,512.0,1172.7
805,11,136,12.0,256.0,1802.94
814,12,0,6.0,128.0,346.19
815,12,0,6.0,128.0,490.11
816,12,0,6.0,128.0,568.91
817,12,10,6.0,256.0,549.99
820,12,11,4.0,64.0,209.99
821,12,12,2.0,32.0,109.99
822,12,12,2.0,32.0,134.92
823,12,13,4.0,128.0,305.59
834,12,18,3.0,64.0,149.99
843,12,21,2.0,32.0,113.04
845,12,21,2.0,32.0,112.06
849,13,4,8.0,256.0,593.7
850,13,58,8.0,256.0,350.23
851,13,14,12.0,256.0,450.87
852,13,59,4.0,64.0,198.27
853,13,59,4.0,64.0,233.22
856,13,60,4.0,64.0,253.43
858,13,257,3.0,32.0,172.01
860,13,258,4.0,64.0,193.2
861,13,258,4.0,64.0,193.2
864,13,263,4.0,32.0,129.99
865,13,62,3.0,32.0,203.22
866,13,62,4.0,64.0,159.99
869,13,194,2.0,16.0,158.4
870,13,214,8.0,256.0,507.45
871,13,215,4.0,64.0,252.12
873,13,216,4.0,64.0,260.38
880,14,251,12.0,256.0,523.2
881,14,262,12.0,256.0,1152.98
885,14,269,3.0,32.0,120.93
888,14,271,4.0,64.0,157.0
889,14,271,4.0,64.0,157.0
890,14,272,4.0,128.0,196.69
895,14,274,8.0,128.0,226.8
898,14,276,4.0,128.0,284.05
911,15,4,8.0,128.0,499.98
914,15,4,8.0,256.0,558.63
915,15,4,8.0,256.0,557.89
917,15,5,8.0,128.0,614.95
918,15,5,8.0,128.0,1000.0
930,15,6,8.0,256.0,1139.35
931,15,7,8.0,128.0,599.99
933,15,7,8.0,128.0,599.99
957,15,156,6.0,128.0,160.0
959,15,156,6.0,128.0,572.58
961,15,156,6.0,128.0,475.74
969,15,157,8.0,128.0,392.68
972,15,157,12.0,256.0,758.84
974,15,158,8.0,128.0,358.99
981,15,160,6.0,128.0,358.01
982,15,160,6.0,128.0,371.0
983,15,160,6.0,128.0,358.01
988,15,162,6.0,128.0,586.02
989,15,163,8.0,128.0,532.0
991,15,164,6.0,128.0,469.58
996,15,209,4.0,64.0,263.89
997,15,209,4.0,64.0,212.23
998,15,210,8.0,128.0,576.7
1000,15,212,6.0,128.0,343.0
1011,15,222,4.0,64.0,178.69
1014,15,222,4.0,128.0,240.09
1022,15,222,4.0,64.0,179.0
1029,15,223,3.0,64.0,110.03
1035,15,223,4.0,128.0,154.5
1043,15,224,4.0,64.0,130.91
1065,15,227,4.0,64.0,200.0
1066,15,228,2.0,32.0,122.0
1070,15,228,2.0,32.0,142.09
1072,15,228,2.0,32.0,111.5
1073,15,228,2.0,32.0,93.9
1080,15,229,2.0,32.0,139.0
1081,15,230,2.0,32.0,119.0
1083,15,230,2.0,32.0,151.83
1085,15,230,4.0,128.0,179.99
1089,15,230,2.0,32.0,138.13
1092,15,230,3.0,64.0,173.93
1103,15,231,2.0,32.0,117.2
1104,15,231,2.0,32.0,136.23
1111,15,233,4.0,128.0,308.96
1112,15,233,4.0,128.0,1000.0
1113,15,233,4.0,128.0,249.99
1116,15,233,4.0,64.0,239.0
1117,15,233,4.0,64.0,229.99
1119,15,233,6.0,128.0,329.99
1122,15,233,6.0,64.0,253.45
1129,15,190,6.0,128.0,268.51
1131,15,190,6.0,64.0,231.4
1133,15,234,4.0,128.0,252.39
1145,15,3,6.0,128.0,349.9
1146,15,3,6.0,64.0,326.0
1147,15,3,6.0,64.0,349.99
1149,15,3,8.0,128.0,378.46
1156,15,3,8.0,128.0,395.31
1157,15,3,6.0,128.0,552.86
1159,15,3,6.0,128.0,381.13
1160,15,3,8.0,128.0,494.72
1181,15,236,4.0,128.0,283.37
1212,15,237,4.0,64.0,237.26
1222,15,239,3.0,64.0,109.0
1227,15,32,6.0,64.0,265.0
1229,15,196,4.0,64.0,147.87
1233,15,240,4.0,64.0,238.72
1234,15,240,4.0,64.0,282.84
1235,10,25,8.0,128.0,195.0
1239,10,28,6.0,128.0,225.0
1241,10,70,3.0,32.0,188.97
161,5,278,3.0,64.0,214.0
254,7,258,12.0,256.0,747.18
277,8,27,8.0,256.0,352.0
302,7,54,8.0,128.0,1000.0
318,7,243,8.0,128.0,184.0
370,9,255,8.0,256.0,299.99
371,9,255,8.0,256.0,299.99
423,10,31,6.0,128.0,281.6
501,10,254,12.0,256.0,442.0
514,11,100,2.0,32.0,95.0
577,11,108,4.0,128.0,333.0
620,11,114,4.0,128.0,165.0
668,11,52,8.0,128.0,254.0
691,11,126,6.0,128.0,229.0
693,11,127,8.0,256.0,379.0
696,11,127,8.0,256.0,369.0
703,11,128,8.0,128.0,263.01
704,11,128,8.0,128.0,263.01
735,11,129,12.0,128.0,428.0
775,11,134,8.0,128.0,569.0
803,11,136,12.0,256.0,1802.94
813,11,136,12.0,512.0,1922.93
906,15,2,8.0,128.0,1000.0
920,15,5,8.0,256.0,308.01
952,15,0,8.0,256.0,289.0
956,15,0,6.0,64.0,210.03
962,15,156,6.0,64.0,350.0
971,15,157,6.0,64.0,203.03
990,15,164,6.0,128.0,240.0
994,15,164,6.0,128.0,379.0
995,15,164,8.0,256.0,300.72
999,15,255,6.0,128.0,176.38
1006,15,213,6.0,128.0,229.92
1063,15,227,3.0,32.0,180.0
1098,15,33,4.0,64.0,198.0
1110,15,233,4.0,64.0,219.0
1125,15,233,8.0,128.0,349.0
1215,15,237,4.0,128.0,271.0
1216,15,237,4.0,64.0,249.01
1218,15,238,4.0,128.0,200.0
1223,15,239,4.0,128.0,269.0
1230,15,196,4.0,64.0,211.0
1231,15,196,6.0,128.0,289.0
