Smartphone,RAM,Storage,Free,Final Price,PriceCategory
1705,8.0,64.0,1,299.99,رخيص
1388,8.0,128.0,0,92.71,رخيص
65,8.0,64.0,1,809.0,متوسط
1231,8.0,256.0,0,920.0,متوسط
1195,8.0,256.0,1,378.0,رخيص
1053,8.0,128.0,1,499.0,رخيص
1218,8.0,128.0,1,569.9,متوسط
93,8.0,128.0,1,694.0,متوسط
67,8.0,128.0,1,739.0,متوسط
1266,8.0,256.0,1,1209.0,غالي
1268,8.0,512.0,1,1249.0,غالي
111,8.0,256.0,1,1029.0,غالي
873,8.0,128.0,1,752.59,متوسط
1342,8.0,256.0,1,1160.0,غالي
1716,8.0,128.0,1,249.9,رخيص
1475,8.0,256.0,0,1451.0,غالي
732,4.0,128.0,1,209.99,رخيص
1245,8.0,128.0,1,1026.41,غالي
1576,8.0,64.0,1,103.16,رخيص
124,8.0,128.0,1,809.0,متوسط
35,8.0,64.0,1,417.99,رخيص
361,8.0,256.0,1,299.0,رخيص
1802,4.0,128.0,1,179.0,رخيص
1198,8.0,128.0,1,730.01,متوسط
764,8.0,256.0,1,349.99,رخيص
1373,4.0,128.0,1,174.99,رخيص
94,8.0,256.0,1,687.99,متوسط
1758,8.0,128.0,1,278.7,رخيص
1668,8.0,128.0,1,329.99,رخيص
149,8.0,128.0,1,1259.0,غالي
34,8.0,64.0,1,439.0,رخيص
1370,4.0,64.0,1,184.99,رخيص
1056,8.0,256.0,1,448.99,رخيص
1272,8.0,512.0,1,1249.0,غالي
1060,8.0,256.0,1,449.95,رخيص
1378,2.0,64.0,1,121.99,رخيص
738,4.0,128.0,1,229.98,رخيص
1623,2.0,32.0,1,119.99,رخيص
1142,8.0,128.0,1,649.0,متوسط
1250,8.0,256.0,1,959.0,متوسط
1238,8.0,128.0,1,866.0,متوسط
1575,8.0,64.0,1,107.9,رخيص
705,8.0,32.0,1,149.99,رخيص
1110,8.0,256.0,1,909.0,متوسط
1600,8.0,64.0,1,119.0,رخيص
1657,8.0,16.0,1,126.24,رخيص
1403,4.0,64.0,1,179.99,رخيص
761,8.0,256.0,1,343.99,رخيص
197,8.0,512.0,1,1549.0,غالي
1369,4.0,64.0,1,184.99,رخيص
195,8.0,512.0,1,1519.0,غالي
1260,8.0,256.0,1,1209.0,غالي
952,4.0,64.0,1,159.95,رخيص
855,8.0,128.0,1,351.6,رخيص
957,8.0,32.0,1,105.0,رخيص
999,8.0,256.0,1,349.94,رخيص
1380,8.0,64.0,1,149.99,رخيص
564,8.0,256.0,1,1199.0,غالي
1214,8.0,256.0,1,699.0,متوسط
305,8.0,256.0,1,573.03,متوسط
1269,8.0,512.0,1,954.0,متوسط
272,8.0,64.0,1,269.0,رخيص
517,8.0,128.0,1,399.0,رخيص
1242,8.0,128.0,1,829.01,متوسط
1189,8.0,256.0,1,649.0,متوسط
275,8.0,64.0,1,270.0,رخيص
641,8.0,128.0,1,479.49,رخيص
672,4.0,64.0,1,269.0,رخيص
1101,8.0,256.0,1,810.78,متوسط
1743,8.0,128.0,1,399.0,رخيص
1786,8.0,32.0,1,69.37,رخيص
1243,8.0,128.0,1,699.95,متوسط
760,8.0,256.0,1,327.0,رخيص
1259,8.0,256.0,1,1430.5,غالي
1390,2.0,32.0,1,120.99,رخيص
1553,8.0,128.0,1,354.38,رخيص
1352,8.0,512.0,1,1919.0,غالي
1201,8.0,256.0,1,499.0,رخيص
635,8.0,128.0,1,499.0,رخيص
121,8.0,128.0,1,809.0,متوسط
263,8.0,128.0,1,327.99,رخيص
717,8.0,256.0,1,429.01,رخيص
693,8.0,256.0,1,1169.0,غالي
1239,8.0,128.0,1,889.99,متوسط
215,8.0,512.0,1,1859.0,غالي
107,8.0,128.0,1,909.0,متوسط
1580,8.0,64.0,1,159.0,رخيص
975,4.0,128.0,1,324.99,رخيص
800,4.0,128.0,1,282.58,رخيص
71,8.0,256.0,1,859.0,متوسط
400,8.0,128.0,1,654.0,متوسط
109,8.0,256.0,1,1029.0,غالي
1261,8.0,256.0,1,893.0,متوسط
1738,8.0,128.0,1,379.99,رخيص
993,8.0,128.0,1,299.9,رخيص
58,8.0,256.0,1,979.0,متوسط
670,8.0,128.0,1,219.0,رخيص
76,8.0,64.0,1,689.0,متوسط
232,8.0,32.0,1,199.0,رخيص
